C,penalty,params,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,mean_train_accuracy,std_train_accuracy,mean_test_f1_micro,std_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,std_train_f1_micro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,mean_train_f1_macro,std_train_f1_macro
0.1,l2,"{'logreg__C': 0.1, 'logreg__penalty': 'l2'}",0.5598939911971398,0.0056699792864382875,1,0.5628019692436041,0.0018109993060838154,0.5598939911971398,0.0056699792864382875,1,0.5628019692436041,0.0018109993060838154,0.36479206698079303,0.008597122908864128,21,0.36885713361587447,0.002650465672157179
0.05,l2,"{'logreg__C': 0.05, 'logreg__penalty': 'l2'}",0.5598525339797091,0.005868520048269937,2,0.5628693597937773,0.0016879662807711567,0.5598525339797091,0.005868520048269937,2,0.5628693597937773,0.0016879662807711567,0.36141348174773225,0.010481211116631944,22,0.3657841113490508,0.001569408296745409
0.5,l1,"{'logreg__C': 0.5, 'logreg__penalty': 'l1'}",0.559686642768306,0.00579453240503316,3,0.5629108292375725,0.001859236538294059,0.559686642768306,0.00579453240503316,3,0.5629108292375725,0.001859236538294059,0.3668783002916799,0.0071718052517977,17,0.37116141022945487,0.002187021090893342
0.1,l1,"{'logreg__C': 0.1, 'logreg__penalty': 'l1'}",0.5596659109350209,0.006308742434611573,4,0.5628330718303024,0.0015785661391561955,0.5596659109350209,0.006308742434611573,4,0.5628330718303024,0.0015785661391561955,0.35848372989123833,0.008943401602266013,23,0.3631570378174467,0.0009569964306243511
0.5,l2,"{'logreg__C': 0.5, 'logreg__penalty': 'l2'}",0.5596244386695984,0.005608757597052147,5,0.5629574835207019,0.0018911264814701076,0.5596244386695984,0.005608757597052147,5,0.5629574835207019,0.0018911264814701076,0.3673020313179812,0.007201612660346618,1,0.37204168555986933,0.002750735002163613
0.8,l2,"{'logreg__C': 0.8, 'logreg__penalty': 'l2'}",0.5595829707036022,0.005752500218786401,6,0.5629730350827723,0.0019377722168631756,0.5595829707036022,0.005752500218786401,6,0.5629730350827723,0.0019377722168631756,0.3670712289992957,0.0073353875602680104,11,0.3723436142077997,0.002772354538336392
1.2,l2,"{'logreg__C': 1.2, 'logreg__penalty': 'l2'}",0.5594792964891853,0.005849048830624455,7,0.5629315641610109,0.001906187998792382,0.5594792964891853,0.005849048830624455,7,0.5629315641610109,0.001906187998792382,0.36725839360708296,0.007773344858672314,4,0.37236067218144264,0.002699896778872261
1.5,l2,"{'logreg__C': 1.5, 'logreg__penalty': 'l2'}",0.559458560356474,0.005839328746359567,8,0.5629056446669595,0.0019501102281155355,0.559458560356474,0.005839328746359567,8,0.5629056446669595,0.0019501102281155355,0.3671699843192461,0.007824190700291368,7,0.3725753982678229,0.0028942392297361965
1.0,l2,"{'logreg__C': 1.0, 'logreg__penalty': 'l2'}",0.5594585582067608,0.005771730763051444,9,0.5629522996218915,0.0019308402684876623,0.5594585582067608,0.005771730763051444,9,0.5629522996218915,0.0019308402684876623,0.36699505010775046,0.007336124266475576,13,0.37245892771744105,0.002781655862552465
5,l1,"{'logreg__C': 5, 'logreg__penalty': 'l1'}",0.5594378306729022,0.005875316879481902,10,0.5630093208964781,0.001895495698580211,0.5594378306729022,0.005875316879481902,10,0.5630093208964781,0.001895495698580211,0.36712303801706286,0.007670960301162802,8,0.3731424451243087,0.0025812303427094354
2,l1,"{'logreg__C': 2, 'logreg__penalty': 'l1'}",0.5594170988396171,0.005847186429163036,11,0.562978218175419,0.0019509678206803395,0.5594170988396171,0.005847186429163036,11,0.562978218175419,0.0019509678206803395,0.36710560043018575,0.007567851877419032,9,0.3726533732932077,0.0024016555893257544
1.5,l1,"{'logreg__C': 1.5, 'logreg__penalty': 'l1'}",0.559417098839617,0.005763511594471383,12,0.5628952764662571,0.0019593808753479228,0.559417098839617,0.005763511594471383,12,0.5628952764662571,0.0019593808753479228,0.36710557071535377,0.007499665951238944,10,0.3721524759907179,0.002541269845642126
10,l1,"{'logreg__C': 10, 'logreg__penalty': 'l1'}",0.5594170945401908,0.005884522927300364,13,0.5630041361915046,0.0018819423898687833,0.5594170945401908,0.005884522927300364,13,0.5630041361915046,0.0018819423898687833,0.3669949142162749,0.007796981855609027,14,0.3732351954222219,0.0028270697746783265
2,l2,"{'logreg__C': 2, 'logreg__penalty': 'l2'}",0.5594170923904778,0.005815232356169186,14,0.5629471149169178,0.0019026796945450836,0.5594170923904778,0.005815232356169186,14,0.5629471149169178,0.0019026796945450836,0.36703069842060904,0.007651323181098322,12,0.37290809981659256,0.0028427607546406817
20,l1,"{'logreg__C': 20, 'logreg__penalty': 'l1'}",0.5593963584074796,0.005862185834932113,15,0.5630248713836641,0.0019095591534488024,0.5593963584074796,0.005862185834932113,15,0.5630248713836641,0.0019095591534488024,0.3672671726453575,0.0075452854157210016,2,0.37334301177907564,0.002763951217677261
15,l1,"{'logreg__C': 15, 'logreg__penalty': 'l1'}",0.5593963584074796,0.005862185834932113,15,0.5630196876192144,0.0019097720227083592,0.5593963584074796,0.005862185834932113,15,0.5630196876192144,0.0019097720227083592,0.3672671726453575,0.0075452854157210016,2,0.3733389472352473,0.0027623297953412937
0.8,l1,"{'logreg__C': 0.8, 'logreg__penalty': 'l1'}",0.5593963541080533,0.0057458570280140885,17,0.562921195557227,0.001812253265096874,0.5593963541080533,0.0057458570280140885,17,0.562921195557227,0.001812253265096874,0.3666276354660322,0.007559928690790691,20,0.37200613291819135,0.0022229805951048706
15,l2,"{'logreg__C': 15, 'logreg__penalty': 'l2'}",0.5593548861420571,0.005843950620826421,18,0.5630352391812845,0.0019193478201580366,0.5593548861420571,0.005843950620826421,18,0.5630352391812845,0.0019193478201580366,0.36724861186599383,0.007561112025204306,5,0.37343910684303855,0.0027679663659475533
20,l2,"{'logreg__C': 20, 'logreg__penalty': 'l2'}",0.5593548861420571,0.005843950620826421,18,0.5630352391812845,0.0019193478201580366,0.5593548861420571,0.005843950620826421,18,0.5630352391812845,0.0019193478201580366,0.36724861186599383,0.007561112025204306,5,0.37343910684303855,0.0027679663659475533
5,l2,"{'logreg__C': 5, 'logreg__penalty': 'l2'}",0.5593341521590589,0.005890091165306206,20,0.5630196878879354,0.0019261046660576304,0.5593341521590589,0.005890091165306206,20,0.5630196878879354,0.0019261046660576304,0.36696807952161176,0.007806364059526717,15,0.3732207132834103,0.002989077998871787
10,l2,"{'logreg__C': 10, 'logreg__penalty': 'l2'}",0.5593341500093458,0.005840409656926416,21,0.5630248715180247,0.0019205438127261555,0.5593341500093458,0.005840409656926416,21,0.5630248715180247,0.0019205438127261555,0.3669094119092825,0.007772598446865758,16,0.37335425473519396,0.002683734655804114
1.2,l1,"{'logreg__C': 1.2, 'logreg__penalty': 'l1'}",0.5592926820433497,0.005716267343043263,22,0.5629574824458173,0.0019262882698184507,0.5592926820433497,0.005716267343043263,22,0.5629574824458173,0.0019262882698184507,0.366830030904859,0.0075857405920726016,18,0.37209196916978937,0.0024136479332443166
1.0,l1,"{'logreg__C': 1.0, 'logreg__penalty': 'l1'}",0.5592304736452158,0.005752150224377648,23,0.5629730337391667,0.001882940617492029,0.5592304736452158,0.005752150224377648,23,0.5629730337391667,0.001882940617492029,0.366715070606643,0.007853242442276203,19,0.37213421933413515,0.0023654409515530524
0.01,l2,"{'logreg__C': 0.01, 'logreg__penalty': 'l2'}",0.5590231488632262,0.006258063263516328,24,0.5619466346733412,0.0015551220228731699,0.5590231488632262,0.006258063263516328,24,0.5619466346733412,0.0015551220228731699,0.34629872069312734,0.007366401646926583,25,0.3503424380241152,0.0011007220798629985
0.05,l1,"{'logreg__C': 0.05, 'logreg__penalty': 'l1'}",0.5590231467135133,0.006679206724956248,25,0.5620036585007783,0.0016537920030646918,0.5590231467135133,0.006679206724956248,25,0.5620036585007783,0.0016537920030646918,0.35160900683673224,0.008085068974582091,24,0.3555239666816554,0.0016925093074742536
0.01,l1,"{'logreg__C': 0.01, 'logreg__penalty': 'l1'}",0.5524087309738297,0.008710679683270328,26,0.5536214314410148,0.0023901063810365226,0.5524087309738297,0.008710679683270328,26,0.5536214314410148,0.0023901063810365226,0.3244481899808835,0.006794634645757528,26,0.3260685701392057,0.003006918151393028
